"Title","Text","Reviewer","Date","Rating"
"Drivers pick and choose what orders…","Drivers pick and choose what orders they want. Leaving ones they don't want unfulfilled without an option for the purchaser to cancel if they're not happy with the excessive wait. They has multi drops on the way. Leaving the food cold on arrival.","Katie",2024-11-17,2
"It’s frustrating there’s no dedicated…","It’s frustrating there’s no dedicated customer care contact! It’s all AI based. If the restaurant didn’t pack your order properly and your order falls all over the ground your stuck with an order you’ve paid for but can’t eat.Uber is a terrible company.","Bradley",2024-11-15,1
"If I could give them 0 stars I would","If I could give them 0 stars I would. - bad customer service or should I say non existent, only sends generic responses - drivers Never on time- Cold and damaged food majority of the timeUber never takes any responsibility, do yourself a favour and use anyone else.","Natheem Abrahams",2024-11-17,1
"Ubereats don't take any responsibility…","Ubereats don't take any responsibility when they screw up! I changed my grocery delivery time in the app however a driver dumped the delivery to front door of the wrong unit (correct drop off location is in my notes on app) and he bought it 3 hours too early! I wasn't there! So I had dairy products sitting in the sun until I could get there which was 2 hrs after delivery! I had to theow the dairy items out as they were warm AND EXPENSIVE however repeated requests to have dairy items replaced have continuously been ignored by uber eats! They don't give a toss about customers getting food poisoning!","Tanya ROBERTS",2024-11-16,1
"I would give 0 stars if I could","I would give 0 stars if I could. My order was incomplete and they refuse to give me a refund for the missing item. Their customer service staff only provide boiler plate responses and are not able to provide actual support of why they will not give a refund. There is no way to escalate an issue or talk to anyone who can go off their limited and useless script. They stole my money and refuse to give it back.","Ryan",2024-11-15,1
"Discount Motivated","Discount prompted me to use one of the few Uber options. There are few competitors, but few providers. So having Ubereats was a treat.","Robin",2024-11-16,4
"Thieves plane and simple","Thieves plane and simple. They messed up a food order earlier in the week and when I complained nothing was done. A grocery order for well over 100 dollars later in the week and after sitting and waiting 2 hours, watching the shopping be completed on the app, they cancel the order without explanation and refuse to refund me for something completely out of my control. They will point blank ignore your attempts to get in touch, for the love of god do not give these scammers any more business","Tony Doyle",2024-11-17,1
"Utter rubbish","Utter rubbish. The grocery shop function is not bad however whenever I order food from restaurants the driver turns up, drives part way and then cancels the delivery. Then you wait at least another to receive cold congealed food. The online help support feature is just AI - no assistance at all. Not really good enough. Deliveroo is much better I’ll just use them from now on.","Nobody Caresatall",2024-11-17,1
"Can do better…","There’s a disconnect between the vendors and the customers. I’ve received fast food that was incomplete and sloppy, and I’ve received ice cream from 7eleven that was frosted and icy from being melted and frozen again.","Joseph",2024-11-13,3
"Thank you Uber eats","Thank you Uber eats. Food was fresh(dominoes, spencer) fast, consistent, service excellent and with a smile. It’s a courtesy to say Thank you for all the hard and committed work that all the service people do.","John Garza",2024-11-13,5
"I received emails stating with my first…","I received emails stating with my first order I get discount.When I ordered for the first time I had to pay in full.Delivery fee and service fee doesn't add up to what you subtract.","George",2024-11-16,3
"The driver was on time food was in safe…","The driver was on time food was in safe hands no open bags very nice driver came to the door and  gave us our food in a very timely manner Thank you for your service","customer",2024-11-15,5
"Just choose Lieferando. So much better service","Hires drivers that has zero German or English knowledge and has the audacity to defend themselves! The courier was on the different end of the street and we called and texted, giving him the exact address, naming restaurants and bus stations. He couldn’t communicate in any language and just left our food on another person’s doorstep??? Made a complaint about it but Ubereats just ignores it, because the courier was supposedly waiting for us for 10 minutes???","Itgll Amar",2024-11-13,1
"Pizza Hut food delivered not in heat…","Pizza Hut food delivered not in heat bag and driven 16 minutes open so by time arrived food was cold. Chicken was 13c pizza 18c which does not meet UK food safety rules. Messaged Uber eats and they have replied stating they don’t care about food safety law or that food arrives cold and not carried correctly. Make sure you record your delivery driver bringing food out of vehicle and take temperature to ensure you have evidence to back up if issue. I have recorded all the evidence so will pursue this to protect someone being made ill by eating highRisk items","gary alderton",2024-11-16,1
"Uber eats is ridiculous they've got to…","Uber eats is ridiculous they've got to be one of the worst companies out there. I had a delivery that was 2 hours and 15 minutes late with a wrong item and still haven't recieved a refund. I will be making a formal complaint! All their staff are like robots pressing buttons","S S",2024-11-18,1
"Coupon applied when order placed but then original price charged","I applied a coupon on a grocery order. A day after the delivery, I received the receipt with the total price adjusted for the exact weights of items delivered, and the coupon had disappeared (although the coupon conditions were still met after the adjustments); the whole price was charged.A refund was issued after I contacted customer service. However, I should not have to notice the issue myself (or otherwise get overcharged by $45) and spend 20 minutes with customer service just to pay the price that was agreed on.","Orestis Vravosinos",2024-11-15,2
"The worst site and very difficult to…","The worst site and very difficult to get support once order is placed. I had ordered food and when ordering it estimated a delivery time prior to me leaving the hotel. They subsequently changed the delivery time by 45 mins and hence I had to cancel order but forced to pay when it wasn't my fault. Lousy customer support via AI chat which is frustrating. Never order using Uber eats","Hman",2024-11-15,1
"I'll never use uber eats again","Even if you have uber one, they will charge you ridiculous delivery fees, then jack up the delivery time to an unreasonable wait time but not allow you to cancel, then when it's delivered cold or stuff is missing and you complain, they'll give you pennies for a refund. They're crooks like all these big businesses are, ignoring customer replies and providing the bare minimum service support. I'll never order from them again.","Hannah",2024-11-18,1
"I ordered shopping and the driver…","I ordered shopping and the driver dropped off somebody else's order. I have used the help section for a day now to request a refund and I keep getting told that I have made too many requests for a refund. The only other refund I requested was when I ordered a vegan breakfast and it had an egg on top so I couldn't eat the breakfast....because I am vegan.","Charlotte",2024-11-18,1
"Disgraceful service","Waited an hour for my delivery from mcdonalds and when it arrived all that was delivered was 2 milkshakes and a chicken share box out of a £50 pound order. Don't bother with this delivery service they are a disgrace","Matt Brown",2024-11-19,1
"I ordered from Uber Eats and the order…","I ordered from Uber Eats and the order I received was wrong. I contacted the restaurant who apologised and said I should be refunded. Contacted Uber Eats who refused to refund me bur would not explain why. They then ignored my further messages and I can't even leave a review on their app. Would advise using other apps like Deliveroo.","Neil",2024-11-16,1
"I recently had a very disappointing…","I recently had a very disappointing experience with Uber Eats. I placed my first order for about $53 but quickly realized I needed to make changes, so I canceled it within five seconds and placed a new order for roughly the same amount. Despite the immediate cancellation, Uber refused to refund me for the original order, offering numerous excuses instead. In the end, what should have been a simple meal ended up costing over $100. Very poor service and an extremely frustrating experience.","jason jason",2024-11-17,1
"The app is amazing but the drivers are…","The app is amazing but the drivers are so dishonest. I made two orders on Saturday the 16 November 2024. The driver picked up both orders but only delivered one to me. What is frustrating is that I couldn’t even load the second order as not received as my code was used to collect the order so that’s how the driver cheated me. I do not think I will be using the app anymore as I just lost R141 and no one is doing anything about it.","Emily Mgijima",2024-11-16,1
"Got robbed!!!","So I ordered a mcdonalds. The delivery woman comes and demands I give her the pin FIRST before she gives me my order. I complied as I didn't want any grief on my doorstep. She then gives me one bag with a drink only before running off to her car and speeding away. Now Uber Eats won't refund what was clearly robbed from me despite me having ring doorbell footage!!!! Had to contact my solicitor as I'm processing a court order.","B Shaw",2024-11-15,1
"Slow delivery and bad customer service","We waited almost an hour for our food when the restaurant is 15 minutes away. We were originally given a delivery time estimate of 25 minutes but we could see on the app that the driver was going in the opposite direction presumably to deliver food elsewhere or perhaps he was just lost. Food was delivered cold and customer service was extremely unhelpful. They claimed it was a reasonable delivery time and refused to give a refund. I will not be using them again!","PH",2024-11-18,1
"Avoid this company at all costs","Avoid this company at all costs. FRAUDULENT AND LIARS! I WAS TOLD I COULD USE A PROMO CODE AND CONTACT THEM AFTER I RECEIVED THE ORDER!! I DID VERIFY WITH AN AGENT THAT THE Coupon was valid right before using it. They told me it was valid. When I contacted them after I received the order, they said it was not valid. I repeat avoid them all al cost. DOOR DASH IS WAY BETTER!!","Kandy Anthony",2024-11-18,1
"Missing Item","it’s been multiple times I order from Mcdonalds and my order is missing items and customer service doesn’t even try to help. I pay for something and I don’t get my order. you are just stealing my money.","Yessenia Reyes",2024-11-17,1
"Totally unprofessional customer service…","Totally unprofessional customer service support. Agents weren’t willing to hear me out or to help with my question related to a company’s overcharge for the placed order. Will never use Uber Eats again!","Yelena Nalimova",2024-11-15,1
"Priority delivery is a scam","Priority delivery is a scam. My orders original delivery time was 8:05, which is the time the restaurant indicates the food is ready plus the time to deliver. But then UE hasn't assigned a driver and adds 10 minutes to the delivery time. Meaning even with priority delivery my food sat for an additional 10 minutes getting cold until UE had a driver to assign. UE needs to coordinate with the restaurant to match food preparation time to driver arrival time. Otherwise there is no such thing as priority delivery - just a scam upcharge. So I got another cold, soggy, uneatable meal.","LaughinLori",2024-11-17,1
"Bad customer service","Food arrived cold after the driver had tried to deliver it to the wrong house twice,complained and got told i couldn't get a refund or compensation, company is just getting worse.","Lyn H",2024-11-12,3
"Uber eats absolute disgusting scamming…","Uber eats absolute disgusting scamming company. Today I placed an order on uber East for Costa coffee Durham. This wad accepted and them cancelled by multiple drivers and therefore my food was not going to get delivered. I tried to ring the shop to see if I could go collect the food instead however the shop did not have a contact number. I cancelled the order on my app to then go and collect at the shop due to no other options available. I have been charged the full amount of my order for a cancellation fee !!! I am now out of pocket by £40 as I had to pay for the order again at the shop. I think this is absolutely disgusting. I had no other choice but to cancel the order as this was cancelled by multiple drivers! So uber thinks its okay for their delivery drivers to cancel order however when a customer cancels the order they are charged the full price of the order and they refuse to refund this back when disputed !!! Will not be using uber again and will be taking this further.","Sophie Allan",2024-11-18,1
"I ordered two meals and neither of them arrived","I ordered two meals to an address in Germany. Neither of them arrived and customer service at Uber Eats just stopped responding to me. There is a clear policy that they will cover any fraud but it does not seem like they care at all. So I basically paid for food I never got and the are not willing to do anything about it.","Isra",2024-10-25,1
"Service was like being at the restaurant - Fast and efficient","The delivery was very fast from time of ordering to delivery. The food was great and the place I chose to get the order from was very efficient","Andrew Lum",2024-11-14,5
"Terrible experience with the app!!!!!","I had a terrible experience!!! I placed my order at 13:05, and the tracker showed that the driver was on their way to collect it. However, it remained stuck at this stage for nearly an hour, with the driver being swapped about four times! What was the issue? Why did the drivers never pick up the order?I called the restaurant at 14:28, and they informed me that the order had been ready for over an hour! Why weren’t the drivers collecting it? Absolutely dreadful experience.The help section is completely useless—it’s just a bot with automated responses that never help resolve your problem.Thank you, Uber Eats, for ruining Sunday lunch.","Natália",2024-11-17,1
"Appalling customer service!","Order a Macdonalds for my children Uber Eats deliver it 20 minutes later, it was cold! I called to complain Uber Eats failed to take responsibility! Needless to say i won’t be using them again for a food deliver absolutely shocking.","audrey brooks-wiggins",2024-11-17,1
"Terrible service","Waited 1.5 hours for my food.Never got delivered waited up to 3am till the restaurant closed and never got anything in return for wasting my time.Absolutely Poor service Deliveroo has much better service.Shocking service for a multi millionaire company","Consumer",2024-11-17,1
"Rude delivery drive","Rude delivery drive, app keep selecting the wrong address and tip is issued even for cancelled orders","Jamal Rezayee",2024-11-15,2
"Awful App","This is by far the worst delivery app. Every time I’ve use it I’ve had issues with drivers cancelling multiple times. Before they cancel they’re driving around in circles far away from the pick up, then they will drive past the pick up and again go in circles. I was waiting for over 2 hours with multiple people doing what’s mentioned above, when finally the whole order was cancelled.  This is not the first time this has happened to me. When during this I go to the help chat and talk to “customer support” they’re just continually sending automated messages and refusing to give any actual support. Support staff kept ending the conversation when it was just starting, sending automated messages and just cancelling orders. Order ended up taking nearly 3 hours. Awful company, awful customer support.","Jess",2024-11-16,1
"Bunch of scammers","Bunch of scammers.    i ordered food from a restaurant that didnt turn up.  when i contacted the restaurant i found that it was a new business and that the restaurant was no longer there.  customer support on Uber Eats refused to cancel the order and then when i was charged refused to refund me.   i was a loyal user spending alot of money with uber and now will be taking my account offline and also closing my company accounts too.  They do not car about customer service and they are stealing your money.I cannot believe that you allow a company to accept deliveries that are no longer in business.    This has left a truly sour taste in my mouth with a refusal you are willing to lose a customer?   such a shame .  I ordered in good faith to only find out that the restaurant is no longer there and you wont investigate.this can happen to others i urge you to boycott and uninstall the app.","Phil Woodward",2024-11-17,1
"Would give no stars if possible cold…","Would give no stars if possible cold comes cold and get told this stuff doesn't happen much but can happen and there is nothing they can do about it what a joke pay over the odds for food to come hot and get ripped off with inedible cold food","Lennox",2024-11-18,1
"Just had a terrible experience with…","Just had a terrible experience with Uber eats customer service manager. Subhan Rafay. Having been sent the complete wrong order, I contacted the help line. Having given email receipt numbers and collection bag numbers, we were refused a refund for a sizeable order and basically told you have lost your money due to a policy guide line. I asked for more information on the policy guide line which thus manager refused to give. When I asked him to confirm my order he rudely told me we were going round in circles and basically there was nothing that will be done. Absolute disgrace from such a large company. Awful customer service staff. Robbing gets. I will never use any of their services again.","Marcus Webber",2024-11-16,1
"Refuse to refund for the order I didn't receive.","Last night on November 15, 2024 I ordered food from KFC and the driver delivered my order to another address, I contacted Uber Eats and they told me they cannot give me a refund for this order. I contacted my bank today as I am writing this review and they told me they are trying to stop the payment to Uber. If you are reading this review please do not order from Uber.","Dana Puchiu",2024-11-15,1
"I received my order on time and with…","I received my order on time and with care, that was my first order and got discount on the item I ordered. so I was so happy with both the driver and my order","Helen",2024-11-17,5
"She was really nice guy nice talk good…","She was really nice guy nice talk good behaviour all very nice yeah one waffer flavour she doesn’t got but she buy it another one all good fantastic taste and delivery she have done until she waits for me outside","MUNISH KUMAR MUNISH KUMAR",2024-11-13,5
"My orders keep getting messed up like…","My orders keep getting messed up like for example one of my orders came damaged and the second order they charged me twice","Fathi Abdirisaq",2024-11-14,2
"Won't recommend UBER EATS to anyone!","Won't recommend UBER EATS to anyone. This company is fraudulent! Stealing money from customers constantly because of failure to Ensure that the costumer gets what they have actually paid for!Eg We bought and paid for a 5 tenders meals through Uber Eats and received a 3 tenders meals!Uber Eats refuses to give compensation at all! Considering we didn't get the meal we have paid for and No compensation at all even offered - this equates to fraud and blatant THEFT from us for the 2nd time in a row for us!Uber Eats is blatantly breaking the law and complaints will be made to the ACC in this regard!","Danial Mantell",2024-11-14,1
"Useless service…","Useless service the drive claimed they waited 7-9 minutes outside my house to deliver but my CCTV shows nothing of the sort.  If this was the case why wasn’t the food left?  Uber support on X cannot answer this simple question. I’m apparently not eligible for a refund","customer",2024-11-15,1
"Deleted","I am writing to express my extreme frustration and disappointment with the level of customer service provided by Uber Eats. The chat support team has consistently failed to address my concerns, instead opting to copy and paste generic responses with no real resolutions. I have found the representatives to be rude and unprofessional, which is unacceptable for a company of Uber Eats' caliber. This app used to be my go-to for food deliveries, but I can no longer support a service that treats its customers in such a manner.As a result, I have deleted the Uber Eats app and will be using alternative food delivery services moving forward. I hope that Uber Eats takes this feedback seriously and works to improve their customer service practices in the future.","VC",2024-11-18,1
"Uber Eats has a terrible policy…","Uber Eats has a terrible policy regarding customer refunds. I placed an order at Ayoka, but the address was incorrect, so I canceled it right away. The total was $77.45, and they deducted about $12 something  leaving a balance of $67.22. However, Uber Eats claimed they couldn't refund my money for food I never received. Isn't that essentially stealing? They said it's their policy, but that's a ridiculous policy, and it really feels like theft","Glory Oladugbagbe",2024-11-11,1
"The food came quickly and was delicious…","The food came quickly and was delicious the driver was so nice I am so thankful for that","Cynthia Flandorffer",2024-11-15,5
"I deliver for Uber","I deliver for Uber. First of all everytime I try to deliver they customer service does not listen or help you. They are not real human we always chat to computer and they pretend to be human. The chat always end with anything else I can help you with even if you say say yes they said have a nice day and the chat is ended. As a worker we should not be treated like that. We can not also call. They don’t do pay properly and there is no one to speak to. So avoid working for Uber you’ll hate your life. I tried to ask for customer door number and they cancelled the delivery and I didn’t get paid for it after me getting the food and taking it to customer the order was cancelled and not getting paid for it.","shaz",2024-11-18,1
"Devious and fraudulent.","Devious and fraudulent.I placed a small shopping order on Nov 1st.One item was missing.Contacted Uber Eats and was subjected to the constant “copy and paste” unfortunately we cannot offer you a refund message despite asking to speak to someone.Managed to get the missing item refunded through PayPal.Then 2 days ago I received a message on my account stating that I owe them money and that my account is blocked until I pay it.I tried to delete my payment methods from their website and they won’t allow me to do that either.I am basically forced into paying them the legitimate refund I received from PayPal for an item I never received in order to remove my personal details from their system.I have since tried contacting them again and have had some of the most idiotic responses, from “we have no record of this payment” to “the charge is from a legitimate order”.They are a complete joke of a company and have no customer care or support whatsoever.","Becky Foster",2024-11-15,1
"I waited 3 hrs for my food and it never…","I waited 3 hrs for my food and it never arrived because the time just kept being pushed back further and further and worse i wasn’t given the option of cancelling my order. And when i tried to contact customer services i had a further wait time and then was told i had to wait 6-12 hrs for a response. This was shocking and would recommend deliveroo so much more.","Isobel Shepard",2024-11-15,1
"Worst experience ever","Worst experience ever, if I could give it 0 stars I would. Please do not order almost impossible to reach out for help, better off using deliveroo they never let me down","Miranda",2024-11-16,1
"We ordered McDonald's from the…","We ordered McDonald's from the hartlepool branch. The delivery turned up freezing cold and items missing from the order. It was that cold, we put it in the bin. As it had unidentified stuff on one burger bun. Not sure what it was, but we didn't want to risk eating it. Two orders from McDonald's, and they arrived cold and items missing both times. Never again. Uber offer nothing in return.","Wayne Roberts",2024-11-15,1
"Michelle had several issues with the…","Michelle had several issues with the grocery store… she dealt with the issues in a very professional manner.","Arlene",2024-11-16,5
"Delivery person stole my food","I live in Mitte but my delivery was sent to Pankow although I enabled the location service on their website to track my exact location. When the delivery person called me, I apologized for the confusion and asked if he could please deliver it to the correct address and that we would happily wait as long as necessary. He refused, marked my order as “delivered” and just like that I lost 35€. After seeking a refund for the order, I was flat out DENIED by their AI chat bot. This company is the WORST for customer service. I will never again use any UBER service as long as I live. What a HORRIBLE company!!! Finger weg!!!","Margaux Bossieux",2024-11-08,1
"The ""latest arrival estimate promise""…","The ""latest arrival estimate promise"" is a scam - I'm pretty sure the customer service agents are AI bots and the only reason I'm still using the app is because I took out an annual Uber One subscription to get Disney+ I've cancelled the renewal - and submitted a complaint about the support received - if it's not AI agents, they're deliberately obtuse and refuse to answer simple questions.","Alex Cole",2024-11-16,2
"Purchased a Chinese meal used Uber Eats - that’s where it went wrong","Purchased a Chinese meal, part of the order was 2x Beef Chow Mein, only 1 arrived. No big deal contacted the restaurant and they said it would take some time to get another one delivered and they said best to contact Uber eats and get a refund. Did so, Cost of 1x Beef Chow mein £6.50 Refund from Uber Eats £1. Looks like a partial chargeback via debit card is the only way to get this money back","Michael Smithson",2024-11-17,1
"Terrible experience with this company","Terrible experience with this company. They allow drivers to deliver orders with missing items while still charging the full price. I contacted Uber Eats about the issue, but they only offered a zero refund for the missing items. Delivery picture and driver receipt both prove missing items. The service is unacceptable and feels highly unfair to customers.","Jenny Evans",2024-11-15,1
"Absolutely terrible and rude customer service - not even worth 1 star!","Their customer service is the worst possible customser service I have ever come across in a company and they don't even deserve 1 star.I had contacted them via the live chat initially to complaint about my order taking over 1 hour 30 minutes to arrive, and then arriving cold.However my complaint soon took a completely different turn to compaining about 3 separate customer service agents, each which wouldn't help me. I asked all 3 of them to launch a complaint for me, and non of them would, each one cutting me off and ending the chat before I could reply, essentially completely fobbing me off and completely ignoring my request to make a complaint.I suspect there's a bunch of them around the same table just having a laugh and not caring in the slightest about their jobs.I will NEVER be ordering from Uber Eats ever again! And out of principle I will be changing my regular taxi service from Uber to a completely different company.","Ben M",2024-11-17,1
"Friendly delivery person","Friendly delivery person. Food came sooner than expected and was good temperature. No complaints.","TJC",2024-11-17,5
"Ripped off","Placed an order today, November 17th and cancelled it right away in a minute and I was charged $29.80 for inconvenience? Really? The total amount inclusive of delivery fee and tax was $42.13 and I was $29.80! Wow it’s ridiculous! Rip off!","Jen Roble",2024-11-16,1
"The idiot driver left my pizza at the…","The idiot driver left my pizza at the wrong address. I called Uber customer service back and explained this to them the situation. Only just to get an email back from them saying that there was nothing they could do. So basically just lost money due to the poor service. This are crooks and i will never use this service again. Hope you have a driver that knows what they are doing or else you risk what happened to me happen to you!","John",2024-11-16,1
"Bullshit","To use money from your voucher you have to confirm your ID by taking photo of your passport an yourself.What kind of bullshit is that???","Rooty",2024-11-12,1
"Uber Eats deserves zero stars - absolute disgrace","If I could give Uber Eats zero stars, I would. I watched the screen after ordering as 7 drivers accepted the job then cancelled, leaving my food clearly sat getting cold. I contacted someone on the chat function who didn’t do anything to help, and then ended the chat while there was still no driver assigned. The food finally arrived extremely late and was stone cold, I had to heat it up from scratch in the oven, meaning it was even later when I finally got to eat and the food was really dry and gross after being heated a second time. I sent a complaint in about the quality of the food and was offered £2.79 credit toward my next order, which is pretty insulting on a £27 order. I responded to say that wasn’t good enough and they have just not replied. Just every single step of the way this has been a complete disgrace, I sincerely advise everyone to use any other delivery service instead of Uber!","Amy",2024-11-09,1
"My order a birthday cake","My order a birthday cake, arrived damaged, completely ruining the celebration. This has caused immense inconvenience and wasted my entire day. Poor customer service too.. Never opt this in future","Dr-Divya Rajesh",2024-11-19,1
"It was a great late night nutritious…","It was a great late night nutritious snack, delivered extremely fast...","Nick Mancini",2024-11-02,5
"Food never arrived from China Palace Arundel","Ordered from China Palace Arundel. Food never delivered despite order showing as completed by Jane. Ap","Consumer",2024-11-17,1
"The food was great it showed up on time…","The food was great it showed up on time it was hot not tampered with driver was polite I would definitely do it again","CHARLES WIGGINS ll",2024-11-12,5
"They customer service is trash","They customer service is trash. I ordered food at 7:40pm I cancelled it because the driver was not moving. So I got my money back and ordered again this time at 9:00pm and the food didn't come till 10:01 the food arrived it was cold the sandwich was soggy I contacted them and I sill waiting for them to get back to me. If they don't I will be contacting the BBB because I paid almost 30 dollars for some cold food","Tony Samuels",2024-11-14,1
"Not helpful at all","Not helpful at all. I reported a delivery man and they, instead of doing something, kept sending me the same (literally) message that they apologize, blah blah blah for his behaviour, but didn't say clearly whether they are going to do something.","Anna Gonciarz",2024-11-18,1
"Wouldn't use UberEats - go straight to business","The pizza and delivery was great - the invoice from the business was lower than I was charged by Uber eats for the actual pizza (before fees etc)  - when I asked Uber eats to fix that they would not - cheaper to just order directly form business even though I have UberOne right now","Judith Kittson",2024-11-11,2
"Waited 2 and a half hours for my food and it was misiing items and cold.","Waited 2 and a half hours for my food, arrived cold, was missing items, when i sent an enquiry they took days longer than they told me they would to reply, gave me a few euro back on the 21€ I spent, cobtacted them again and was told I would get a response 6-12 hours later, took almost a week to respond and informed me that it was too late to give a refund. In the midst of this I was trying to get in touch with there support team to ask what the hold up was about but they kept telling me that they were working on it and my issue would be resolved soon. I still expect a full refund and would not recommend using this app.","Cillian",2024-11-01,1
"The worst","The worst. Deleting the app. I placed an $86 order 2 months ago that took 75 minutes. Complained and was told I would get a $19 credit. Which I never received. Ordered just now from a restaurant 10 minutes from my hotel. It took 50 minutes and they switched drivers after 35 minutes.","Virginia",2024-11-18,1
"Extremely disappointed","Our delivery was already running late when we finally see the driver is at our address. My flat mate when out to get the food and approached the driver who was sat in his car. He said he was not a delivery driver. I then went out to help my friend who was stood outside in the cold and dark waiting for a delivery. We then approached the driver again who was sat in his car smoking. He then confirmed that he had our food but would not deliver it to us. Only after we had given up on retrieving our food did we receive an update on the app to let us know that the delivery had been cancelled. Serious lack of communication from both the driver and Uber Eats themselves about what was happening with our order leaving us an hour and a half later with no food and cold from ten minutes stood outside trying to retrieve our order.","Beth Higlett",2024-11-14,1
"Disgusting","Disgusting, order was delayed then food arrived stone cold, customer service would not help due to it being delivered within the new time given, whole order was binned.","Chelsea Quinn",2024-11-19,1
"Absolutely shocking company I ordered…","Absolutely shocking company I ordered food and it came clearly not cooked took photos sent them to Uber eats and threw the food away wasn’t edible and I messaged them no refund all they said was they will note it down about the restaurant not good enough I’m not paying for food that was not edible and If I did eat it would of make me ill I used to have Uber one which I’ve cancelled I’ve messaged Uber eats twice now 48 hours and nothing back stay away from this shocking disgusting company use just eat or Deliveroo maybe might have a company who is just out money grabbing and don’t care about people","Customer",2024-11-12,1
"Worst customer service ever","Worst customer service ever. The driver left my order at another door; I never said to leave the order at the front door. I had a code to give the driver, and the driver left the order anyway. Uber Eats won't give me my money back and it's their problem, I will never buy from them again!!!!","customer",2024-11-15,1
"Absolutely disgusting behaviour","Absolutely disgusting behaviour from Uber eats Please don’t use this company they don’t care about your food Uber eats doesn’t care if items are missing Uber eats doesn’t care if your food isn’t edible Uber eats doesn’t care if your food is cold Uber eats doesn’t care if you spend your hard earned money on S—t they have your money so basically F—K  YOU CUSTOMER we at Uber eats don’t care about the quality of food you receive we at Uber eats only care about taking your money money moneyThis order was meant to be a treat for my son he loves kfc I am disabled so don’t have much money the whole order had to be thrown in the bin￼Uber eats has done absolutely nothing to refund me for my order disgusting I have now cancelled my Uber S—T account And will be using Deliveroo From what I hear from other people  ￼ Deliveroo ￼Is 100% better than this S—T company Uber eats will always be on the side of the restaurant and take away never us the people ￼if it wasn’t for the people you would be nothing Uber if this review stop just 1 person from ordering from you that’s fine with me I think your absolutely disgusting taking all our hard earned money and don’t give a S— whole order had to be thrown in the bin","James Collins",2024-11-17,1
